x,y
2.227,30.00 
2.446,32.00 
3.014,38.00 
3.513,43.00 
2.962,37.00 
1.868,27.00 
1.51,25.00 
1.563,25.00 
1.699,26.00 
1.822,27.00 
1.35,22.00 
1.878,28.00 
1.99,28.00 
2.126,29.00 
1.727,26.00 
1.998,28.00 
2.043,29.00 
1.922,28.00 
1.517,25.00 
1.595,25.00 
1.522,25.00 
1.81,27.00 
1.873,27.00 
1.89,28.00 
1.884,28.00 
1.767,27.00 
2.034,29.00 
2.684,35.00 
2.771,36.00 
1.826,27.00 
1.677,26.00 
1.378,22.00 
1.73,14.00 
1.723,14.00 
1.712,14.00 
1.935,14.00 
2.112,14.00 
1.806,14.00 
2.404,14.00 
3.064,16.00 
3.093,16.00 
3.029,16.00 
2.628,16.00 
2.631,16.00 
2.31,14.00 
2.472,14.00 
2.255,14.00 
2.134,14.00 
1.558,14.00 
2.435,14.00 
2.488,14.00 
2.12,14.00 
2.049,14.00 
1.473,12.00 
1.455,12.00 
1.64,14.00 
1.78,14.00 
1.818,14.00 
1.735,14.00 
2.11,14.00 
2.245,14.00 
2.226,14.00 
2.168,14.00 
2.919,16.00 
2.597,16.00 
2.376,14.00 
2.752,16.00 
3.089,16.00 
2.525,16.00 
2.66,16.00 
2.523,16.00 
1.769,14.00 
1.73,14.00 
1.657,14.00 
1.693,14.00 
1.623,14.00 
2.203,14.00 
2.145,14.00 
2.029,14.00 
2.235,14.00 
2.404,14.00 
2.126,14.00 
2.098,14.00 
2.119,14.00 
2.387,14.00 
2.296,14.00 
2.34,14.00 
2.102,14.00 
2.329,14.00 
2.546,16.00 
3.06,16.00 
2.98,16.00 
2.957,16.00 
2.102,14.00 
1.789,14.00 
1.859,14.00 
1.486,12.00 
1.41,12.00 
1.2,12.00 
1.576,14.00 
1.242,12.00 
2.193,14.00 
1.89,14.00 
1.873,14.00 
1.838,14.00 
1.28,12.00 
1.447,12.00 
1.314,12.00 
1.698,14.00 
1.591,14.00 
2.233,14.00 
1.36,12.00 
1.264,12.00 
1.381,12.00 
1.609,14.00 
1.78,14.00 
1.859,14.00 
1.767,14.00 
1.829,14.00 
2.002,14.00 
2.047,14.00 
1.593,14.00 
1.653,14.00 
2.237,14.00 
2.343,14.00 
2.207,14.00 
2.286,14.00 
1.406,12.00 
1.171,12.00 
1.313,12.00 
1.377,12.00 
1.251,12.00 
2.196,14.00 
1.995,14.00 
1.975,14.00 
2.02,14.00 
1.726,14.00 
1.866,14.00 
1.498,12.00 
1.454,12.00 
1.41,12.00 
1.664,14.00 
